Компания,Сайт,Email,Имя_ЛПР,Должность,Статус,Персонализация
Rush Analytics,https://rush-analytics.ru,,Алексей Терехов,PR директор Admitat gmbhu,ok,"Rush Analytics предлагает мощные инструменты для SEO и видимости в нейросетях, включая возможность проверки до 100 000 URL за один час и автоматизацию аудита сайта с рекомендациями по устранению ошибок. Платформа обеспечивает интеграцию с Яндекс Метрикой и Google Search Console, что позволяет отслеживать динамику трафика и позиций на одном графике."
Salt,https://salt.agency,hello@salt.agency,,,ok,"SALT.agency® является лидером в области SEO и AI-оптимизации, работая с международными брендами для повышения их органической видимости и доверия к бренду. Вы были отмечены как победители за лучшее масштабное SEO-кампании на UK Agency Awards, что подчеркивает вашу экспертизу и инновационный подход в этой области."
Artics Internet Solutions,https://artics.ru,,,,ok,"Агентство «Артикс» стало номинантом на премию Silver Mercury в 2023 году и представляло высокие стандарты эффективности в российском маркетинге с 2000 года. Вы активно применяете инновационные подходы для достижения стабильных результатов, что весьма вдохновляет."
WebCanape,https://web-canape.ru,,,,ok,"К сожалению, я не смог найти на сайте конкретную информацию о вашей компании, чтобы создать персонализацию для холодного письма. Пожалуйста, предоставьте более подробные данные о вашей компании или уточните запрос, чтобы я мог помочь."
FireSEO,https://fireseo.ru,info@fireseo.ru,,,ok,"Fireseo — сертифицированное агентство ""Яндекса"" и Google с опытом в интернет-рекламе более 15 лет, работающие в более чем 300 областях. Ваши ожидания по увеличению прибыли могут быть достигнуты за счет нашего комплексного подхода к интернет-маркетингу и внимательного отношения к вашим нуждам."
Click.ru,https://click.ru,support@click.ru,Торичко Александр,Управляющий партнёр,ok,"Click.ru является крупнейшим агрегатором рекламных площадок и маркетинговых сервисов, что позволяет предлагать своим клиентам максимум агентских условий и возврат до 19% от рекламных расходов. Сервис также обеспечивает бесшовный перенос рекламных кампаний с минимальными потерями в кликабельности и конверсиях."
OWOX,https://owox.com,,,,ok,OWOX Data Marts используется более чем 170 тысячами пользователей для принятия решений на основе данных и предоставляет уникальную платформу самосервисной аналитики с открытым исходным кодом.
Roistat,https://roistat.com,contact@roistat.com,,,ok,"Roistat предоставляет решения для сквозной аналитики, помогая клиентам уменьшить стоимость привлечения клиентов на 67% и удвоить ROI за счет оптимизации рекламных кампаний."
Calltouch,https://calltouch.ru,sales@calltouch.net,Дмитрий Дворецкий,"Директор по электронной коммерции ,   «Гипермаркеты мебели и товаров для дома Hoff»",ok,Calltouch предлагает уникальную возможность привлечь до 750 лояльных клиентов на первом запуске с помощью своей платформы клиентских данных (CDP).
UIS,https://uiscom.ru,info@uiscom.ru,Павел Нефедов,Генеральный директор компании «Легкий Бизнес»,ok,
Albato,https://albato.ru,info@albato.ru,Алексей Авдеев,CEO и партнер Calltouch,ok,
Pyrus,https://pyrus.com,support@pyrus.com,Александра Ефимовская,Директор по пользовательскому опыту и CRM онлайн-кинотеатра ИВИ,ok,
amoCRM,https://amocrm.ru,,,,ok,
Naumen,https://naumen.ru,sales@naumen.ru,,,ok,
TrueConf,https://trueconf.ru,info@trueconf.ru,Кирилл Песчаный,", вице-президент, директор по ИТ-эксплуатации и инфраструктуре ИТ-блока «Ростелекома».",ok,
ELMA,https://elma365.com,inbox@elma365.com,Наталия Долженкова,Исполнительный директор ELMA,ok,
iSpring,https://ispring.ru,,,,ошибка,
Retail Rocket,https://retailrocket.ru,hello@retailrocket.io,Сергей Соловьев,CEO,ok,
Jivo,https://jivo.ru,info@jivosite.com,,,ok,
CoMagic,https://comagic.ru,info@uiscom.ru,Павел Нефедов,Генеральный директор компании «Легкий Бизнес»,ok,
Megaplan,https://megaplan.ru,info@megaplan.ru,,,ok,
PlanFact,https://planfact.io,support@planfact.io,Артем Гнедков,генеральный директор,ok,"Более 3500 компаний уже доверяют сервису управленческого учета ПланФакт, который позволяет автоматизировать финансовый учет и принимать решения на основе точных данных. С помощью интеграции с 19 банками, включая Сбербанк и Альфа Банк, вы сможете значительно упростить процесс учета и сэкономить время."
HRlink,https://hrlink.ru,,,,ошибка,
InSales,https://insales.ru,info@insales.ru,,,ok,"inSales стал частью системы бизнес-сервисов Сбер2B, что позволяет вам расширить свои цифровые решения и оптимизировать онлайн-продажи. Кроме того, вы предлагаете возможность создать интернет-магазин за 15 минут, используя один из 20 шаблонов дизайна."
Mindbox,https://mindbox.ru,,,,ok,"Mindbox предлагает омниканальную платформу автоматизации маркетинга и успешно обрабатывает данные сотен ритейлеров, обеспечивая надежность и безопасность личных данных клиентов. Кроме того, у вас есть возможность использовать более 400 историй успеха для оптимизации своих маркетинговых стратегий."
AIC,https://aic.ru,,,,ok,"Компания aic занимается разработкой дизайна и консалтинга, создавая качественный опыт взаимодействия для человека, бизнеса и государства. Ваш подход к проектированию продуктов, ориентированных на пользователя, может быть интересен для клиентов, стремящихся улучшить свою цифровую экосистему."
Redmadrobot,https://redmadrobot.ru,hello@redmadrobot.com,,,ok,red_mad_robot запустил более 100 прорывных цифровых продуктов и входит в число мировых лидеров по внедрению инновационных управленческих моделей RenDanHeYi. Ваши достижения в разработке AI-решений и управление LLM впечатляют и могут стать основой для дальнейшего роста бизнеса.
Surf,https://surf.ru,hello@surfstudio.ru,,,ok,"Компания Surf разрабатывает мобильные приложения и сложные IT-системы на заказ более 14 лет, а также имеет опыт в создании приложений для таких известных брендов, как Delivery Club и Додо Пицца. Более 250 специалистов в команде отвечают за весь цикл создания продуктов, что позволяет вам получить качественные решения для вашего бизнеса."
QSOFT,https://qsoft.ru,info@qsoft.ru,,,ok,"Компания QSOFT имеет более 270 лет опыта на рынке и реализовала свыше 340 проектов, включая цифровую трансформацию для таких крупных клиентов, как Банк России и Lamoda."
ZeBrains,https://zebrains.ru,hello@zebrains.ru,Рамиль Зайнеев,Генеральный директор,ok,"ZeBrains предлагает уникальное решение с мультиагентной системой «Цифровой офис», позволяющее сократить до 70% времени сотрудников за счет автоматизации рутины. Ваш бизнес может значительно повысить продуктивность и снизить издержки, используя их ИИ-ассистентов."
Fuse8,https://fuse8.ru,info@fuse8.ru,Константин Карпалов,"Директор по маркетингу, МФК «Лайм-Займ»",ok,fuse8 занимает 1 место в рейтинге разработчиков на .NET в России и успешно автоматизировала тренировочные процессы для футбольной лиги с помощью своего продукта FF Manager.
Dbrain,https://dbrain.io,hello@dbrain.io,"Радик Фахуртдинов,",технический директор Finconnect,ok,"DBrain предоставляет сервисы распознавания и конвертации документов на базе ИИ, обрабатывая более 31 миллиона документов в различных сферах, включая банки, страхование и госсектор. Ваши сотрудники могут экономить время, избегая ручной обработки тысяч бумаг, благодаря автоматизации процесса KYC клиентов."
Skillaz,https://skillaz.com,,,,ошибка,
X5 Tech,https://x5.tech,x5tech@x5.ru,,,ok,"X5 Tech разрабатывает решения для более чем 400 тысяч сотрудников группы X5, обеспечивая их максимальный технологический комфорт с помощью собственных онлайн и оффлайн систем. Более 55% ваших сотрудников ежегодно проходят обучающие программы, что подчеркивает вашу приверженность к развитию команды."
Солар,https://rt-solar.ru,test@test.ru,,,ok,"Компания Солар предлагает широкий спектр решений в области кибербезопасности, включая защиту от утечек и корпоративного мошенничества с помощью продукта Solar Dozor. Также вы предоставляете услуги по построению и развитию центров управления информационной безопасностью (SOC), что подтверждает ваш накопленный опыт в данной области."
S2 Technologies,https://s2technologies.ru,info@s2technologies.ru,,,ok,"S2 Technologies имеет более 15 лет опыта работы в области IT- и AI-инфраструктуры, обеспечивая полный цикл услуг от проектирования до запуска и поддержки. Также компания реализует более 5000 проектов для клиентов различных масштабов, включая промышленные компании и команды в области AI/ML."
3Logic Group,https://3logic.ru,3l@3l.ru,,,ok,"3Logic Group занимается дистрибьюцией компьютерных комплектующих и предлагает широкий ассортимент продуктов, включая серверы и системы хранения данных, а также готовые ИТ-решения. Ваша компания также активно осваивает направления импортозамещения и интеграции, что делает вас важным игроком на рынке технологий."
S7 Tech,https://techlab.s7.ru,,"Алексей Фирсов, Python lead","Екатерина Дмитрук, CEO",ok,"S7 Techlab аккредитована как ИТ-компания и имеет более 300 увлеченных специалистов, работающих над разработкой программного обеспечения для авиаперевозчиков. Среди ваших продуктов есть собственный движок для бронирования билетов, что подчеркивает вашу экспертизу в автоматизации процессов в авиации."
SafeLine,https://safe-line.ru,info@safe-line.ru,,,ok,"Компания «Сейфлайн», основанная в 2007 году, успешно сочетает информационные технологии, маркетинг и финансы для решения сложных задач на стыке этих областей. Ваши принципы, ориентированные на простоту и полезность решений, позволяют эффективно разделять риски и бонусы с клиентами."
Setters,https://setters.agency,info@setters.me,,,ok,((SETTERS) Agency) успешно работает с 2015 года и зарекомендовал себя как точка притяжения ярких талантов и смелых брендов. Ваша работа над упаковкой городского загородного кластера от MR Group впечатляет и демонстрирует высокий уровень креативности.
RTA,https://rta-moscow.com,nb@rta-moscow.com,,,ok,"RTA управляет 3,7 миллиарда рублей оборота и за 2,5 года работы на рынке помог своим клиентам увеличить выручку на более чем 120 миллиардов рублей."
Media108,https://media108.ru,info@media108.ru,,,ok,"Media 108 обладает 14-летним опытом в сфере performance-маркетинга и заняла место в ТОП-5 performance-агентств России по версии Tagline. Команда из более чем 150 экспертов успешно решает маркетинговые задачи для крупных клиентов в сфере недвижимости, включая AFI Development и MR Group."
IamBTL,https://iambtl.ru,info@iambtl.ru,Косуров Александр,Генеральный директор,ok,"BTL агентство IAMBTL в Москве предлагает услуги по организации промо-мероприятий ""под ключ"", обеспечивая полный комплекс задач от разработки концепции до отчетности. Вы также гарантируете высокую эффективность своих мероприятий с реальной окупаемостью, что может значительно повысить узнаваемость и продажи ваших клиентов."
Dmdev,https://dmdev.ru,mail@dmdev.ru,,,ok,"Студия Дениса Мишина предлагает комплексные решения по созданию сайтов под ключ, включая поддержку и продвижение, с индивидуальным подходом к каждому проекту, что позволяет существенно увеличивать поток заявок. За более чем 20 лет опыта работы команда успешно реализует проекты различного масштаба — от простых лендингов до сложных корпоративных систем."
Малби-Sofт,https://malbi-soft.ru,maslov.n.s@malbi-soft.ru,,,ok,"Малби Софт предлагает широкий спектр услуг для автоматизации бизнеса и торговли, включая интеграцию с системами 1С и внедрение ЭДО. Также вы предоставляете решения ""под ключ"" для автоматизации магазинов, что может значительно упростить процессы для ваших клиентов."
Солнцев и Партнеры,https://solntsev24.ru,info@solntsev24.ru,,,ok,"Компания ""Солнцев и партнеры"" успешно работает на рынке Красноярского края уже более 17 лет и обслуживает более 875 довольных клиентов. С вашими актуальными задачами, такими как внедрение 1С:Предприятие через Интернет, мы могли бы предложить эффективные решения для повышения производительности вашего бизнеса."
itreit,https://itreit.ru,info@reit-invest.ru,,,ok,ООО «Реит» успешно завершило более 1000 сделок за более чем 6 лет на рынке и предлагает полный спектр услуг по сопровождению продаж и покупок квартир.
Крос,https://cros.ru,info@cros.ru,,,ok,"КРОС реализовал свыше 6000 проектов, включая задачи национального уровня и работы для частных компаний из различных отраслей, что подчеркивает ваш богатый опыт в решении коммуникационных задач."
Диджитал,https://dgtl24.ru,,Диджитал Инжиниринг,Интегратор и генеральный подрядчик полного цикла,ok,"ООО ""ДИДЖИТАЛ"" является интегратором и генеральным подрядчиком полного цикла проектов автоматизации и связи на опасных производственных объектах, что позволяет обеспечить предсказуемый результат и соответствие высоким корпоративным стандартам. Ваши решения в области техперевооружения и модернизации инженерных систем могут значительно повысить эффективность работы отрасли."
